rank,score,name,season,user_score,date,imdb_id
1,96,fargo,season-2,9.5,Oct 12; 2015,tt2802850
2,94,transparent,season-2,6.8,Dec 11; 2015,tt3502262
3,92,the-americans,season-3,8.3,Jan 28; 2015,tt2149175
4,91,louie,season-5,8.4,Apr 9; 2015,tt1492966
5,91,game-of-thrones,season-5,8.2,Apr 12; 2015,tt0944947
6,91,master-of-none,season-1,7.6,Nov 6; 2015,tt4635276
7,90,bojack-horseman,season-2,8.7,Jul 17; 2015,tt3398228
8,90,veep,season-4,8.1,Apr 12; 2015,tt1759761
9,89,rectify,season-3,8.5,Jul 9; 2015,tt2183404
10,89,justified,season-6,8.3,Jan 20; 2015,tt1489428
11,89,tig,season-1,5.2,Jul 17; 2015,tt4920096
12,89,broad-city,season-2,8.1,Jan 14; 2015,tt2578560
13,88,kurt-cobain-montage-of-heck,season-1,7.6,May 4; 2015,tt4229236
14,87,jane-the-virgin,season-2,8.2,Oct 12; 2015,tt3566726
15,86,silicon-valley,season-2,8.4,Apr 12; 2015,tt2575988
16,86,wolf-hall,season-1,7.9,Apr 5; 2015,tt3556920
17,85,getting-on-2013,season-3,8.5,Nov 8; 2015,tt2342652
18,85,the-knick,season-2,8.9,Oct 16; 2015,tt2937900
19,85,show-me-a-hero,season-1,7.1,Aug 16; 2015,tt2492296
20,85,survivors-remorse,season-2,5.4,Aug 22; 2015,tt3231022
21,84,portlandia,season-5,7.7,Jan 8; 2015,tt1780441
22,84,going-clear-scientology-and-the-prison-of-belief,season-1,7.9,Mar 29; 2015,tt4257858
23,84,hannibal,season-3,8.3,Jun 4; 2015,tt2243973
24,84,making-a-murderer,season-1,8.7,Dec 18; 2015,tt5189670
25,84,american-crime,season-1,7.7,Mar 5; 2015,tt3488298
26,84,the-italian-americans,season-1,4.0,Feb 17; 2015,tt3522142
27,84,key-peele,season-5,7.5,Jul 8; 2015,tt1981558
28,83,review,season-2,7.9,Jul 30; 2015,tt2141913
29,83,orange-is-the-new-black,season-3,7.5,Jun 12; 2015,tt2372162
30,83,mad-men,season-7-5,8.6,Apr 5; 2015,tt0804503
31,83,catastrophe,season-1,7.7,Jun 19; 2015,tt4374208
32,83,larry-kramer-in-love-and-anger,season-1,tbd,Jun 29; 2015,tt4329244
33,82,the-returned,season-2,8.4,Oct 31; 2015,tt2521668
34,82,youre-the-worst,season-2,8.0,Sep 9; 2015,tt3228420
35,82,mom,season-3,6.5,Nov 5; 2015,tt2660806
36,81,born-this-way,season-1,tbd,Dec 8; 2015,tt5219042
37,81,vikings,season-3,8.3,Feb 19; 2015,tt2306299
38,81,marvels-jessica-jones,season-1,7.8,Nov 20; 2015,tt2357547
39,81,the-mindy-project,season-4,6.1,Sep 15; 2015,tt2211129
40,81,the-flash-2014,season-2,7.5,Oct 6; 2015,tt3107288
41,80,the-leftovers,season-2,8.9,Oct 4; 2015,tt2699128
42,80,manhattan,season-2,9.0,Oct 13; 2015,tt3231564
43,80,project-greenlight,season-4,9.1,Sep 13; 2015,tt0299368
44,79,spotless,season-1,7.7,Nov 14; 2015,tt3834000
45,79,the-walking-dead,season-6,6.1,Oct 11; 2015,tt1520211
46,79,mr-robot,season-1,8.7,Jun 24; 2015,tt4158110
47,79,home-fires,season-1,6.8,Oct 4; 2015,tt4015216
48,79,deutschland-83,season-1,8.6,Jun 17; 2015,tt4445154
49,79,togetherness,season-1,7.3,Jan 11; 2015,tt3061830
